Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Validation_Humaine
ml17_280a_0157_part10.wav,10,0:50,0.057,0.3191,⚠️ ANOMALIE,
ml17_280a_0054_part53.wav,53,4:25,0.0502,0.3511,⚠️ ANOMALIE,
ml17_280a_0164_part3.wav,3,0:15,0.1094,0.4969,⚠️ ANOMALIE,
ml17_280a_0170_part7.wav,7,0:35,0.115,0.4637,⚠️ ANOMALIE,
ml17_280a_0096_part39.wav,39,3:15,0.0676,0.3986,⚠️ ANOMALIE,
ml17_280a_0085_part4.wav,4,0:20,0.1188,0.4917,⚠️ ANOMALIE,
ml17_280a_0169_part9.wav,9,0:45,0.0945,0.428,⚠️ ANOMALIE,
ml17_280a_0140_part1.wav,1,0:05,0.0504,0.3332,⚠️ ANOMALIE,
ml17_280a_0109_part2.wav,2,0:10,0.0494,0.2363,⚠️ ANOMALIE,
ml17_280a_0097_part29.wav,29,2:25,0.1378,0.4828,⚠️ ANOMALIE,
ml17_280a_0162_part59.wav,59,4:55,0.0546,0.2927,⚠️ ANOMALIE,
ml17_280a_0098_part22.wav,22,1:50,0.0574,0.4079,⚠️ ANOMALIE,
ml17_280a_0038_part4.wav,4,0:20,0.0655,0.3567,⚠️ ANOMALIE,
ml17_280a_0081_part11.wav,11,0:55,0.0849,0.4024,⚠️ ANOMALIE,
ml17_280a_0033_part39.wav,39,3:15,0.0517,0.2602,⚠️ ANOMALIE,
ml17_280a_0084_part60.wav,60,5:00,0.1134,0.4428,⚠️ ANOMALIE,
ml17_280a_0098_part59.wav,59,4:55,0.1027,0.4382,⚠️ ANOMALIE,
ml17_280a_0173_part24.wav,24,2:00,0.0668,0.319,⚠️ ANOMALIE,
ml17_280a_0137_part22.wav,22,1:50,0.0651,0.342,⚠️ ANOMALIE,
ml17_280a_0143_part34.wav,34,2:50,0.0727,0.4028,⚠️ ANOMALIE,
ml17_280a_0140_part14.wav,14,1:10,0.0571,0.329,⚠️ ANOMALIE,
ml17_280a_0083_part21.wav,21,1:45,0.12,0.4917,⚠️ ANOMALIE,
ml17_280a_0129_part60.wav,60,5:00,0.0496,0.3469,⚠️ ANOMALIE,
ml17_280a_0039_part19.wav,19,1:35,0.1311,0.4899,⚠️ ANOMALIE,
ml17_280a_0071_part55.wav,55,4:35,0.0039,0.2585,✅ NORMAL,
ml17_280a_0166_part14.wav,14,1:10,0.0013,0.2324,✅ NORMAL,
ml17_280a_0025_part17.wav,17,1:25,0.0352,0.2551,✅ NORMAL,
ml17_280a_0167_part39.wav,39,3:15,0.037,0.2666,✅ NORMAL,
ml17_280a_0153_part59.wav,59,4:55,-0.0034,0.1873,✅ NORMAL,
ml17_280a_0091_part38.wav,38,3:10,0.0145,0.2301,✅ NORMAL,
ml17_280a_0060_part43.wav,43,3:35,-0.0048,0.1763,✅ NORMAL,
ml17_280a_0092_part21.wav,21,1:45,-0.0066,0.2208,✅ NORMAL,
ml17_280a_0019_part5.wav,5,0:25,0.0029,0.2396,✅ NORMAL,
ml17_280a_0125_part11.wav,11,0:55,-0.0062,0.205,✅ NORMAL,
ml17_280a_0163_part14.wav,14,1:10,0.024,0.2743,✅ NORMAL,
ml17_280a_0048_part16.wav,16,1:20,0.0211,0.286,✅ NORMAL,
ml17_280a_0072_part33.wav,33,2:45,0.0055,0.1903,✅ NORMAL,
ml17_280a_0065_part8.wav,8,0:40,0.0423,0.1944,✅ NORMAL,
ml17_280a_0070_part53.wav,53,4:25,0.0208,0.2965,✅ NORMAL,
ml17_280a_0011_part57.wav,57,4:45,0.0059,0.2235,✅ NORMAL,
ml17_280a_0149_part6.wav,6,0:30,0.0332,0.293,✅ NORMAL,
ml17_280a_0035_part12.wav,12,1:00,0.0185,0.2917,✅ NORMAL,
ml17_280a_0138_part9.wav,9,0:45,0.0144,0.3395,✅ NORMAL,
ml17_280a_0046_part60.wav,60,5:00,0.0021,0.2006,✅ NORMAL,
ml17_280a_0110_part14.wav,14,1:10,0.016,0.2178,✅ NORMAL,
ml17_280a_0119_part29.wav,29,2:25,-0.0015,0.1878,✅ NORMAL,
ml17_280a_0063_part66.wav,66,5:30,0.023,0.2452,✅ NORMAL,
ml17_280a_0031_part23.wav,23,1:55,-0.0124,0.215,✅ NORMAL,
ml17_280a_0166_part2.wav,2,0:10,0.0293,0.2891,✅ NORMAL,
ml17_280a_0060_part66.wav,66,5:30,0.012,0.193,✅ NORMAL,
ml17_280a_0079_part39.wav,39,3:15,-0.0213,0.178,✅ NORMAL,
ml17_280a_0052_part19.wav,19,1:35,0.0308,0.2292,✅ NORMAL,
