,precision,recall,f1-score,support
Void,0.0,0.0,0.0,190.0
Anomaly,0.5052083333333334,1.0,0.671280276816609,194.0
accuracy,0.5052083333333334,0.5052083333333334,0.5052083333333334,0.5052083333333334
macro avg,0.2526041666666667,0.5,0.3356401384083045,384.0
weighted avg,0.2552354600694445,0.5052083333333334,0.3391363898500577,384.0

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,0,190
Anomaly Actual,0,194
