filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0106_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,2.0554137,1986.398,1,1,1,1
ml17_280a_0106_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0703117,844.33325,0,0,0,0
ml17_280a_0106_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0495831,867.53485,0,0,0,0
ml17_280a_0106_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0256727,838.71313,0,0,0,0
ml17_280a_0106_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0241138,846.37,0,0,0,0
ml17_280a_0106_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0832362,985.59814,0,0,0,0
ml17_280a_0106_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0331511,881.2033,0,0,0,0
ml17_280a_0106_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0229298,796.5359,0,0,0,0
ml17_280a_0106_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.016292,845.48413,0,0,0,0
ml17_280a_0106_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.0316533,771.37744,0,0,0,0
ml17_280a_0106_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.0532451,827.0752,0,0,0,0
ml17_280a_0106_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,0.98650044,854.0067,0,0,0,0
ml17_280a_0106_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,0.99573773,801.24445,0,0,0,0
ml17_280a_0106_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.1551802,1185.8667,0,1,0,0
ml17_280a_0106_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.0143327,948.8833,0,0,0,0
ml17_280a_0106_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,0.9969222,809.47107,0,0,0,0
ml17_280a_0106_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.0126228,865.0978,0,0,0,0
ml17_280a_0106_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,0.9924952,847.7406,0,0,0,0
ml17_280a_0106_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.0945659,871.3569,0,0,0,0
ml17_280a_0106_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,1.0272555,778.1527,0,0,0,0
ml17_280a_0106_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.98353255,595.46954,0,0,0,0
