filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0079_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,1.4041367,2868.872,1,1,1,1
ml17_280a_0079_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.3921635,2054.1616,1,1,1,1
ml17_280a_0079_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.1234618,1175.2563,0,0,0,0
ml17_280a_0079_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.2716982,1556.3947,1,1,1,0
ml17_280a_0079_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.084285,1369.5691,0,0,0,0
ml17_280a_0079_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0721887,955.80646,0,0,0,0
ml17_280a_0079_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0669361,1023.911,0,0,0,0
ml17_280a_0079_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.2826433,1753.6113,1,1,1,1
ml17_280a_0079_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.2583792,1822.9229,1,1,0,1
ml17_280a_0079_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.2061983,1720.6555,0,1,0,1
ml17_280a_0079_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.2908021,1799.9927,1,1,1,1
ml17_280a_0079_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.1544936,1536.4973,0,1,0,0
ml17_280a_0079_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,1.2582271,1526.064,1,1,0,0
ml17_280a_0079_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,1.2002699,1712.1556,0,1,0,1
ml17_280a_0079_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.055969,913.2135,0,0,0,0
ml17_280a_0079_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.072122,887.541,0,0,0,0
ml17_280a_0079_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,1.0304157,696.2516,0,0,0,0
ml17_280a_0079_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.0258024,629.9269,0,0,0,0
ml17_280a_0079_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,1.0119828,635.48596,0,0,0,0
ml17_280a_0079_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.0383085,634.93616,0,0,0,0
ml17_280a_0079_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,1.0129585,504.99487,0,0,0,0
ml17_280a_0079_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,1.021787,631.6281,0,0,0,0
ml17_280a_0079_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.018146,612.8354,0,0,0,0
ml17_280a_0079_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,1.0046911,492.00342,0,0,0,0
ml17_280a_0079_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,1.0185686,742.7317,0,0,0,0
ml17_280a_0079_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,1.0927093,850.9602,0,0,0,0
ml17_280a_0079_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,1.0348679,704.87646,0,0,0,0
ml17_280a_0079_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,1.3230242,1965.1897,1,1,1,1
ml17_280a_0079_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,1.0285573,695.15485,0,0,0,0
ml17_280a_0079_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,1.0355611,865.29376,0,0,0,0
ml17_280a_0079_chunk0031.wav,31,155.0,160.0,2.583,2.667,0,1.0125479,584.96643,0,0,0,0
ml17_280a_0079_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,1.0501798,725.6079,0,0,0,0
ml17_280a_0079_chunk0033.wav,33,165.0,170.0,2.75,2.833,0,0.9959852,379.15964,0,0,0,0
ml17_280a_0079_chunk0034.wav,34,170.0,175.0,2.833,2.917,0,1.0089204,578.36005,0,0,0,0
ml17_280a_0079_chunk0035.wav,35,175.0,180.0,2.917,3.0,0,1.0347111,663.4265,0,0,0,0
ml17_280a_0079_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,1.006964,566.50946,0,0,0,0
ml17_280a_0079_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,1.006196,491.94724,0,0,0,0
ml17_280a_0079_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,1.0150825,594.4522,0,0,0,0
ml17_280a_0079_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,1.0062405,520.8874,0,0,0,0
ml17_280a_0079_chunk0040.wav,40,200.0,205.0,3.333,3.417,0,0.99487305,414.93146,0,0,0,0
ml17_280a_0079_chunk0041.wav,41,205.0,210.0,3.417,3.5,0,1.0073389,506.22244,0,0,0,0
ml17_280a_0079_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,0.9930428,392.66495,0,0,0,0
ml17_280a_0079_chunk0043.wav,43,215.0,220.0,3.583,3.667,0,0.9866214,470.66412,0,0,0,0
ml17_280a_0079_chunk0044.wav,44,220.0,225.0,3.667,3.75,0,1.0207388,582.05505,0,0,0,0
ml17_280a_0079_chunk0045.wav,45,225.0,230.0,3.75,3.833,0,0.99748296,378.10153,0,0,0,0
ml17_280a_0079_chunk0047.wav,47,235.0,240.0,3.917,4.0,0,1.0185453,774.99084,0,0,0,0
ml17_280a_0079_chunk0048.wav,48,240.0,245.0,4.0,4.083,0,0.99495494,441.03137,0,0,0,0
ml17_280a_0079_chunk0049.wav,49,245.0,250.0,4.083,4.167,0,0.9818448,397.57825,0,0,0,0
ml17_280a_0079_chunk0050.wav,50,250.0,255.0,4.167,4.25,0,0.9980639,396.79373,0,0,0,0
ml17_280a_0079_chunk0051.wav,51,255.0,260.0,4.25,4.333,0,0.99399817,435.6784,0,0,0,0
ml17_280a_0079_chunk0052.wav,52,260.0,265.0,4.333,4.417,0,0.9947737,415.83252,0,0,0,0
ml17_280a_0079_chunk0053.wav,53,265.0,270.0,4.417,4.5,0,1.0711336,728.6108,0,0,0,0
ml17_280a_0079_chunk0054.wav,54,270.0,275.0,4.5,4.583,0,1.0248545,561.03156,0,0,0,0
ml17_280a_0079_chunk0055.wav,55,275.0,280.0,4.583,4.667,0,0.98746336,379.30136,0,0,0,0
ml17_280a_0079_chunk0056.wav,56,280.0,285.0,4.667,4.75,0,0.997159,443.56503,0,0,0,0
ml17_280a_0079_chunk0058.wav,58,290.0,295.0,4.833,4.917,0,1.0119023,704.90375,0,0,0,0
ml17_280a_0079_chunk0059.wav,59,295.0,300.0,4.917,5.0,0,1.0824859,1012.36273,0,0,0,0
ml17_280a_0079_chunk0061.wav,61,305.0,310.0,5.083,5.167,0,0.9886404,411.88263,0,0,0,0
ml17_280a_0079_chunk0062.wav,62,310.0,315.0,5.167,5.25,0,0.9944538,409.9503,0,0,0,0
