filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0014_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,1.7337787,2795.6511,1,1,1,1
ml17_280a_0014_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0052496,555.81494,0,0,0,0
ml17_280a_0014_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.305084,1659.8274,1,1,0,0
ml17_280a_0014_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0158252,670.5177,0,0,0,0
ml17_280a_0014_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0124161,574.9197,0,0,0,0
ml17_280a_0014_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0925419,873.8618,0,0,0,0
ml17_280a_0014_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0169982,662.85095,0,0,0,0
ml17_280a_0014_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0506885,705.4679,0,0,0,0
ml17_280a_0014_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,0.99657,388.6408,0,0,0,0
ml17_280a_0014_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.99280804,462.79913,0,0,0,0
ml17_280a_0014_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,0.98521674,458.44287,0,0,0,0
ml17_280a_0014_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.0486751,808.18567,0,0,0,0
ml17_280a_0014_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,0.9959618,453.6761,0,0,0,0
ml17_280a_0014_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,0.9889434,474.26917,0,0,0,0
ml17_280a_0014_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,0.9976966,387.59482,0,0,0,0
ml17_280a_0014_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.1141759,880.2063,0,0,0,0
ml17_280a_0014_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,0.9965625,534.7737,0,0,0,0
ml17_280a_0014_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,0.9884545,355.95395,0,0,0,0
ml17_280a_0014_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,0.9862612,323.51886,0,0,0,0
ml17_280a_0014_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,0.98670447,547.6947,0,0,0,0
ml17_280a_0014_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,0.988809,383.09113,0,0,0,0
ml17_280a_0014_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.9876779,379.79758,0,0,0,0
ml17_280a_0014_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,0.9887312,276.9331,0,0,0,0
ml17_280a_0014_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,1.0529659,814.4668,0,0,0,0
ml17_280a_0014_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,0.9983406,307.31702,0,0,0,0
ml17_280a_0014_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,1.0737467,843.3608,0,0,0,0
ml17_280a_0014_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,1.1449721,953.6478,0,0,0,0
ml17_280a_0014_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,0.9829849,382.19305,0,0,0,0
ml17_280a_0014_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,1.1260259,1066.4546,0,0,0,0
ml17_280a_0014_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,1.0576899,614.01654,0,0,0,0
ml17_280a_0014_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,1.1244569,804.56866,0,0,0,0
ml17_280a_0014_chunk0031.wav,31,155.0,160.0,2.583,2.667,0,0.9864603,544.8797,0,0,0,0
ml17_280a_0014_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,1.0030563,677.4646,0,0,0,0
ml17_280a_0014_chunk0033.wav,33,165.0,170.0,2.75,2.833,0,0.9745038,371.89853,0,0,0,0
ml17_280a_0014_chunk0034.wav,34,170.0,175.0,2.833,2.917,0,0.9864739,420.9112,0,0,0,0
ml17_280a_0014_chunk0035.wav,35,175.0,180.0,2.917,3.0,0,1.4554569,2162.715,1,1,1,1
ml17_280a_0014_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,1.2638848,1251.3595,1,0,0,0
ml17_280a_0014_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,1.1543049,884.1162,0,0,0,0
ml17_280a_0014_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,0.9924432,474.30084,0,0,0,0
ml17_280a_0014_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,0.9814764,418.6064,0,0,0,0
ml17_280a_0014_chunk0040.wav,40,200.0,205.0,3.333,3.417,0,1.1107705,852.09314,0,0,0,0
ml17_280a_0014_chunk0041.wav,41,205.0,210.0,3.417,3.5,0,1.2259024,1191.2903,0,0,0,0
ml17_280a_0014_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,0.98718345,415.9245,0,0,0,0
ml17_280a_0014_chunk0043.wav,43,215.0,220.0,3.583,3.667,0,0.9861022,544.24915,0,0,0,0
ml17_280a_0014_chunk0044.wav,44,220.0,225.0,3.667,3.75,0,0.99465716,489.35822,0,0,0,0
ml17_280a_0014_chunk0045.wav,45,225.0,230.0,3.75,3.833,0,1.1934216,1063.2007,0,0,0,0
ml17_280a_0014_chunk0046.wav,46,230.0,235.0,3.833,3.917,0,1.0902342,812.7047,0,0,0,0
ml17_280a_0014_chunk0047.wav,47,235.0,240.0,3.917,4.0,0,1.2026597,1607.2694,0,1,0,0
ml17_280a_0014_chunk0048.wav,48,240.0,245.0,4.0,4.083,0,1.1186103,1022.0707,0,0,0,0
ml17_280a_0014_chunk0049.wav,49,245.0,250.0,4.083,4.167,0,1.011302,440.9698,0,0,0,0
ml17_280a_0014_chunk0050.wav,50,250.0,255.0,4.167,4.25,0,1.0308194,553.0613,0,0,0,0
ml17_280a_0014_chunk0051.wav,51,255.0,260.0,4.25,4.333,0,1.04874,612.89954,0,0,0,0
ml17_280a_0014_chunk0052.wav,52,260.0,265.0,4.333,4.417,0,1.0560191,563.7262,0,0,0,0
ml17_280a_0014_chunk0053.wav,53,265.0,270.0,4.417,4.5,0,1.0382627,570.7832,0,0,0,0
ml17_280a_0014_chunk0054.wav,54,270.0,275.0,4.5,4.583,0,1.1477449,1200.1255,0,0,0,0
