recording_id,n_clips,lof_auroc,lof_ap,lof_f1_oracle,lof_f1_p90,gaussian_auroc,gaussian_ap,gaussian_f1_oracle,gaussian_f1_p90
ml17_280a_0085,92,0.7046783625730995,0.5988373437725412,0.6727272727272727,0.25,0.7378167641325536,0.6956979808087517,0.684931506849315,0.3333333333333333
ml17_280a_0086,150,0.6480491186373539,0.41949265878829667,0.6071428571428571,0.15151515151515152,0.8492770845712021,0.7609835613454449,0.7450980392156863,0.42424242424242425
ml17_280a_0087,123,,,,,,,,
ml17_280a_0088,167,,,,,,,,
ml17_280a_0089,90,,,,,,,,
ml17_280a_0090,30,,,,,,,,
ml17_280a_0091,43,,,,,,,,
ml17_280a_0092,24,,,,,,,,
ml17_280a_0093,157,0.9493464052287581,0.35984848484848486,0.5,0.3,0.7630718954248367,0.1066673801369863,0.28571428571428575,0.2
ml17_280a_0094,8,,,,,,,,
ml17_280a_0095,58,0.7674418604651163,0.5947072043122645,0.5714285714285715,0.38095238095238093,0.7612403100775195,0.5910191447547769,0.6,0.38095238095238093
ml17_280a_0096,27,0.4647058823529412,0.6045466115623607,0.7727272727272727,0.1,0.4941176470588235,0.6059632452912366,0.7894736842105262,0.1
ml17_280a_0097,22,0.5411764705882353,0.30996336996337,0.5,0.25,0.788235294117647,0.5626373626373626,0.6153846153846154,0.25
ml17_280a_0098,69,0.6225749559082893,0.4888706637060361,0.6024096385542168,0.11764705882352941,0.7522045855379189,0.6733249277491695,0.6551724137931035,0.35294117647058826
ml17_280a_0099,88,0.661764705882353,0.4626862367745397,0.7157894736842105,0.13953488372093023,0.7211328976034859,0.573142900402864,0.6666666666666667,0.18604651162790697
ml17_280a_0101,25,,,,,,,,
ml17_280a_0102,26,,,,,,,,
ml17_280a_0103,115,0.8716814159292036,0.10416666666666666,0.2,0.14285714285714285,0.9601769911504425,0.24285714285714285,0.4444444444444445,0.2857142857142857
ml17_280a_0104,105,,,,,,,,
ml17_280a_0105,25,,,,,,,,
ml17_280a_0106,163,0.853468899521531,0.22527391512812725,0.3703703703703703,0.35714285714285715,0.8367224880382775,0.4476126654356805,0.5555555555555556,0.5
ml17_280a_0108,8,,,,,,,,
ml17_280a_0109,8,,,,,,,,
ml17_280a_0110,79,,,,,,,,
ml17_280a_0111,39,,,,,,,,
ml17_280a_0112,10,,,,,,,,
ml17_280a_0113,16,,,,,,,,
ml17_280a_0114,94,,,,,,,,
ml17_280a_0115,49,,,,,,,,
ml17_280a_0116,10,,,,,,,,
ml17_280a_0117,65,,,,,,,,
ml17_280a_0118,116,,,,,,,,
ml17_280a_0119,141,,,,,,,,
ml17_280a_0120,168,0.9580838323353293,0.125,0.2222222222222222,0.1111111111111111,0.8323353293413174,0.034482758620689655,0.06666666666666667,0.0
ml17_280a_0121,13,,,,,,,,
ml17_280a_0122,10,,,,,,,,
ml17_280a_0123,9,,,,,,,,
ml17_280a_0124,12,,,,,,,,
ml17_280a_0125,83,,,,,,,,
ml17_280a_0126,95,0.9787234042553191,0.3333333333333333,0.5,0.18181818181818182,0.9787234042553191,0.3333333333333333,0.5,0.18181818181818182
ml17_280a_0127,43,,,,,,,,
ml17_280a_0128,23,,,,,,,,
ml17_280a_0129,151,,,,,,,,
ml17_280a_0130,15,0.0,0.06666666666666667,0.125,0.0,1.0,1.0,1.0,0.6666666666666666
ml17_280a_0131,11,,,,,,,,
ml17_280a_0132,10,,,,,,,,
ml17_280a_0133,10,,,,,,,,
ml17_280a_0134,22,0.33333333333333337,0.06666666666666667,0.125,0.0,0.04761904761904767,0.047619047619047616,0.0909090909090909,0.0
ml17_280a_0135,23,0.5909090909090908,0.1,0.18181818181818182,0.0,0.09090909090909094,0.047619047619047616,0.0909090909090909,0.0
