filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0151_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,0.98022085,1706.47,0,1,0,1
ml17_280a_0151_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0436665,372.889,1,0,1,0
ml17_280a_0151_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0107741,587.127,0,0,0,0
ml17_280a_0151_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0120863,322.58475,0,0,0,0
ml17_280a_0151_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.98022085,932.5855,0,0,0,0
ml17_280a_0151_chunk0010.wav,10,50.0,55.0,0.833,0.917,1,0.98651594,576.8357,0,0,0,0
ml17_280a_0151_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,0.98925304,877.50793,0,0,0,0
