filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0050_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,0.9863149,1311.2421,0,1,0,1
ml17_280a_0050_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0095831,669.82153,0,0,0,0
ml17_280a_0050_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.004974,874.0678,0,0,0,0
ml17_280a_0050_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0226134,497.23975,1,0,0,0
ml17_280a_0050_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,0.9939059,864.14197,0,0,0,0
ml17_280a_0050_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,0.9976062,497.97745,0,0,0,0
ml17_280a_0050_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,0.9863149,810.0861,0,0,0,0
ml17_280a_0050_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.99959713,619.42346,0,0,0,0
