filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0155_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,0.9698357,1297.8273,0,0,0,0
ml17_280a_0155_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0043943,607.7302,0,0,0,0
ml17_280a_0155_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0172024,359.43964,0,0,0,0
ml17_280a_0155_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0002141,720.5928,0,0,0,0
ml17_280a_0155_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0177568,338.73492,1,0,0,0
ml17_280a_0155_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.006652,488.30273,0,0,0,0
ml17_280a_0155_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0035024,1139.1688,0,0,0,0
ml17_280a_0155_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0096099,688.0298,0,0,0,0
ml17_280a_0155_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.0033823,727.5377,0,0,0,0
ml17_280a_0155_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,0.9698357,1312.636,0,1,0,0
