filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0152_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,1.4690164,2015.2512,1,1,1,1
ml17_280a_0152_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0326521,902.56995,0,0,0,0
ml17_280a_0152_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0403881,939.55804,0,0,0,0
ml17_280a_0152_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0606878,1051.3833,0,1,0,0
ml17_280a_0152_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0268198,659.86066,0,0,0,0
ml17_280a_0152_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0322626,890.1465,0,0,0,0
ml17_280a_0152_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0774181,908.8184,0,0,0,0
ml17_280a_0152_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.10263,998.6742,0,0,0,0
ml17_280a_0152_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0264425,748.4237,0,0,0,0
ml17_280a_0152_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.0153168,631.1083,0,0,0,0
ml17_280a_0152_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.0087644,620.67566,0,0,0,0
ml17_280a_0152_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.0322694,811.0115,0,0,0,0
ml17_280a_0152_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.0760745,958.2845,0,0,0,0
ml17_280a_0152_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,1.0566394,876.1991,0,0,0,0
ml17_280a_0152_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.1842076,1396.8948,1,1,0,0
ml17_280a_0152_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,1.1091712,977.7357,1,0,0,0
ml17_280a_0152_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.9905876,622.4191,0,0,0,0
ml17_280a_0152_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.0180496,799.3468,0,0,0,0
ml17_280a_0152_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,0.9956602,480.15076,0,0,0,0
ml17_280a_0152_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,0.9870165,352.42944,0,0,0,0
ml17_280a_0152_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,1.005259,596.97394,0,0,0,0
ml17_280a_0152_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,0.988455,459.27844,0,0,0,0
ml17_280a_0152_chunk0028.wav,28,140.0,145.0,2.333,2.417,1,1.0779479,849.3046,0,0,0,0
ml17_280a_0152_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,0.98321277,477.6065,0,0,0,0
ml17_280a_0152_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,0.9705871,361.6667,0,0,0,0
ml17_280a_0152_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,1.1000991,895.9334,0,0,0,0
ml17_280a_0152_chunk0033.wav,33,165.0,170.0,2.75,2.833,0,1.1591198,1316.9235,1,1,0,0
ml17_280a_0152_chunk0034.wav,34,170.0,175.0,2.833,2.917,0,0.96556586,443.70392,0,0,0,0
ml17_280a_0152_chunk0035.wav,35,175.0,180.0,2.917,3.0,0,1.0469428,842.9724,0,0,0,0
ml17_280a_0152_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,0.97215044,537.6438,0,0,0,0
ml17_280a_0152_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,1.0296526,616.76025,0,0,0,0
ml17_280a_0152_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,0.9877785,609.90814,0,0,0,0
ml17_280a_0152_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,1.0466914,765.9236,0,0,0,0
ml17_280a_0152_chunk0041.wav,41,205.0,210.0,3.417,3.5,0,1.0105795,568.50116,0,0,0,0
ml17_280a_0152_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,0.97784483,501.74347,0,0,0,0
ml17_280a_0152_chunk0043.wav,43,215.0,220.0,3.583,3.667,0,0.9679554,347.37494,0,0,0,0
ml17_280a_0152_chunk0044.wav,44,220.0,225.0,3.667,3.75,0,0.9768796,461.37476,0,0,0,0
ml17_280a_0152_chunk0045.wav,45,225.0,230.0,3.75,3.833,0,0.97698134,304.10272,0,0,0,0
ml17_280a_0152_chunk0046.wav,46,230.0,235.0,3.833,3.917,0,1.0069002,461.8277,0,0,0,0
ml17_280a_0152_chunk0047.wav,47,235.0,240.0,3.917,4.0,0,0.9726879,304.53366,0,0,0,0
ml17_280a_0152_chunk0048.wav,48,240.0,245.0,4.0,4.083,0,0.98216593,344.3556,0,0,0,0
ml17_280a_0152_chunk0049.wav,49,245.0,250.0,4.083,4.167,0,1.1185901,1134.3702,1,1,0,0
ml17_280a_0152_chunk0050.wav,50,250.0,255.0,4.167,4.25,0,1.0386307,702.1339,0,0,0,0
ml17_280a_0152_chunk0051.wav,51,255.0,260.0,4.25,4.333,0,1.0064886,551.2062,0,0,0,0
ml17_280a_0152_chunk0052.wav,52,260.0,265.0,4.333,4.417,0,1.0869769,1036.095,0,0,0,0
ml17_280a_0152_chunk0053.wav,53,265.0,270.0,4.417,4.5,0,1.0456854,890.21356,0,0,0,0
ml17_280a_0152_chunk0054.wav,54,270.0,275.0,4.5,4.583,0,1.1086571,1030.684,0,0,0,0
ml17_280a_0152_chunk0055.wav,55,275.0,280.0,4.583,4.667,0,0.99776495,625.3808,0,0,0,0
ml17_280a_0152_chunk0056.wav,56,280.0,285.0,4.667,4.75,0,1.2288961,1566.5997,1,1,1,1
ml17_280a_0152_chunk0057.wav,57,285.0,290.0,4.75,4.833,0,0.99055684,353.22272,0,0,0,0
ml17_280a_0152_chunk0058.wav,58,290.0,295.0,4.833,4.917,0,1.0319707,615.8506,0,0,0,0
ml17_280a_0152_chunk0059.wav,59,295.0,300.0,4.917,5.0,0,1.0197351,892.2661,0,0,0,0
ml17_280a_0152_chunk0060.wav,60,300.0,305.0,5.0,5.083,0,0.9901937,500.61884,0,0,0,0
ml17_280a_0152_chunk0061.wav,61,305.0,310.0,5.083,5.167,0,1.0842041,1020.5023,0,0,0,0
