filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0090_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,1.4136369,2764.583,1,1,1,1
ml17_280a_0090_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.0402739,1079.7589,0,0,0,0
ml17_280a_0090_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0001035,703.8569,0,0,0,0
ml17_280a_0090_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.044437,1001.4522,0,0,0,0
ml17_280a_0090_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0067972,943.40155,0,0,0,0
ml17_280a_0090_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0102535,630.271,0,0,0,0
ml17_280a_0090_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0594379,944.96277,0,0,0,0
ml17_280a_0090_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0015347,837.2637,0,0,0,0
ml17_280a_0090_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,0.99107295,738.827,0,0,0,0
ml17_280a_0090_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.9939517,434.73376,0,0,0,0
ml17_280a_0090_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,0.9971134,375.58307,0,0,0,0
ml17_280a_0090_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,0.9870821,447.607,0,0,0,0
ml17_280a_0090_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,0.9862579,372.64728,0,0,0,0
ml17_280a_0090_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,0.99465334,275.28018,0,0,0,0
ml17_280a_0090_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.0018103,763.37695,0,0,0,0
ml17_280a_0090_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.1754326,1573.7839,1,1,0,0
ml17_280a_0090_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,0.9950088,520.0583,0,0,0,0
ml17_280a_0090_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.0003756,683.1697,0,0,0,0
ml17_280a_0090_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,0.9901058,362.22083,0,0,0,0
ml17_280a_0090_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.0045712,462.99496,0,0,0,0
ml17_280a_0090_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,0.99092114,536.53973,0,0,0,0
ml17_280a_0090_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.9880002,293.0462,0,0,0,0
ml17_280a_0090_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.0214498,935.02893,0,0,0,0
ml17_280a_0090_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,0.9842645,646.98413,0,0,0,0
ml17_280a_0090_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,1.1571448,1473.725,1,1,0,0
ml17_280a_0090_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,0.98864925,679.8314,0,0,0,0
ml17_280a_0090_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,1.0102297,840.6101,0,0,0,0
ml17_280a_0090_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,0.97950953,668.59863,0,0,0,0
ml17_280a_0090_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,0.9882256,560.2122,0,0,0,0
ml17_280a_0090_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,0.99422514,489.59036,0,0,0,0
