filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0142_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.1297271,840.88135,0,0,0,0
ml17_280a_0142_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.1203547,959.0477,0,0,0,0
ml17_280a_0142_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0030353,620.25854,0,0,0,0
ml17_280a_0142_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0097257,838.5279,0,0,0,0
ml17_280a_0142_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0100238,584.8881,0,0,0,0
ml17_280a_0142_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.3010151,1329.8198,0,0,0,0
ml17_280a_0142_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0255437,647.47565,0,0,0,0
ml17_280a_0142_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0292401,658.01794,0,0,0,0
ml17_280a_0142_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.0061867,598.2086,0,0,0,0
ml17_280a_0142_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.0429547,754.98517,0,0,0,0
ml17_280a_0142_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.0366745,589.98267,0,0,0,0
ml17_280a_0142_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,1.0366569,694.05664,0,0,0,0
ml17_280a_0142_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,1.0188484,517.6702,0,0,0,0
ml17_280a_0142_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.0428026,621.71204,0,0,0,0
ml17_280a_0142_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,1.0340699,750.27515,0,0,0,0
ml17_280a_0142_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,1.1014988,905.3712,0,0,0,0
ml17_280a_0142_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.0121313,548.9344,0,0,0,0
ml17_280a_0142_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,1.0047939,598.13763,0,0,0,0
ml17_280a_0142_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,1.000394,391.10132,0,0,0,0
ml17_280a_0142_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,1.4605384,1478.0073,1,1,1,0
ml17_280a_0142_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,0.99358594,437.073,0,0,0,0
ml17_280a_0142_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,0.9914359,466.5616,0,0,0,0
ml17_280a_0142_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,0.9937676,460.97534,0,0,0,0
ml17_280a_0142_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,1.0048951,623.6869,0,0,0,0
ml17_280a_0142_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,0.99557096,569.3459,0,0,0,0
ml17_280a_0142_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,0.9887595,362.28333,0,0,0,0
ml17_280a_0142_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,1.0399328,513.2411,0,0,0,0
ml17_280a_0142_chunk0031.wav,31,155.0,160.0,2.583,2.667,0,1.1537058,995.1934,0,0,0,0
ml17_280a_0142_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,1.0208519,644.1414,0,0,0,0
ml17_280a_0142_chunk0034.wav,34,170.0,175.0,2.833,2.917,0,1.0230131,609.6623,0,0,0,0
ml17_280a_0142_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,1.1262463,884.448,0,0,0,0
ml17_280a_0142_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,0.98915994,346.03088,0,0,0,0
ml17_280a_0142_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,1.0923681,850.40027,0,0,0,0
ml17_280a_0142_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,0.98009205,232.03888,0,0,0,0
ml17_280a_0142_chunk0041.wav,41,205.0,210.0,3.417,3.5,0,0.9870612,333.7013,0,0,0,0
ml17_280a_0142_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,1.0392292,572.6349,0,0,0,0
ml17_280a_0142_chunk0043.wav,43,215.0,220.0,3.583,3.667,0,0.9847064,425.1277,0,0,0,0
ml17_280a_0142_chunk0044.wav,44,220.0,225.0,3.667,3.75,0,0.9895605,418.4911,0,0,0,0
ml17_280a_0142_chunk0045.wav,45,225.0,230.0,3.75,3.833,0,0.9875614,451.07184,0,0,0,0
ml17_280a_0142_chunk0046.wav,46,230.0,235.0,3.833,3.917,0,0.9854008,333.39032,0,0,0,0
ml17_280a_0142_chunk0047.wav,47,235.0,240.0,3.917,4.0,0,0.98739374,507.19214,0,0,0,0
ml17_280a_0142_chunk0048.wav,48,240.0,245.0,4.0,4.083,0,0.98173934,415.59756,0,0,0,0
ml17_280a_0142_chunk0049.wav,49,245.0,250.0,4.083,4.167,0,0.98608303,341.8094,0,0,0,0
ml17_280a_0142_chunk0050.wav,50,250.0,255.0,4.167,4.25,0,0.98547184,396.84503,0,0,0,0
ml17_280a_0142_chunk0051.wav,51,255.0,260.0,4.25,4.333,0,0.99191827,400.40335,0,0,0,0
ml17_280a_0142_chunk0052.wav,52,260.0,265.0,4.333,4.417,0,0.9892847,484.51965,0,0,0,0
ml17_280a_0142_chunk0053.wav,53,265.0,270.0,4.417,4.5,0,0.9888207,423.83575,0,0,0,0
ml17_280a_0142_chunk0054.wav,54,270.0,275.0,4.5,4.583,0,0.9845201,360.44318,0,0,0,0
ml17_280a_0142_chunk0055.wav,55,275.0,280.0,4.583,4.667,0,0.99120677,598.296,0,0,0,0
ml17_280a_0142_chunk0056.wav,56,280.0,285.0,4.667,4.75,0,0.9901759,320.29385,0,0,0,0
ml17_280a_0142_chunk0057.wav,57,285.0,290.0,4.75,4.833,0,0.99229,587.51904,0,0,0,0
ml17_280a_0142_chunk0058.wav,58,290.0,295.0,4.833,4.917,0,0.9927538,342.72595,0,0,0,0
ml17_280a_0142_chunk0059.wav,59,295.0,300.0,4.917,5.0,0,0.98978853,510.73563,0,0,0,0
ml17_280a_0142_chunk0060.wav,60,300.0,305.0,5.0,5.083,0,1.00752,649.10126,0,0,0,0
ml17_280a_0142_chunk0061.wav,61,305.0,310.0,5.083,5.167,0,1.0042813,479.71375,0,0,0,0
ml17_280a_0142_chunk0062.wav,62,310.0,315.0,5.167,5.25,0,0.99425775,408.59137,0,0,0,0
ml17_280a_0142_chunk0063.wav,63,315.0,320.0,5.25,5.333,0,1.0028805,588.9298,0,0,0,0
ml17_280a_0142_chunk0064.wav,64,320.0,325.0,5.333,5.417,0,1.12033,711.90125,0,0,0,0
ml17_280a_0142_chunk0065.wav,65,325.0,330.0,5.417,5.5,0,1.0539032,540.1199,0,0,0,0
ml17_280a_0142_chunk0066.wav,66,330.0,335.0,5.5,5.583,0,1.0103246,620.1667,0,0,0,0
ml17_280a_0142_chunk0067.wav,67,335.0,340.0,5.583,5.667,0,1.0621997,698.1609,0,0,0,0
ml17_280a_0142_chunk0068.wav,68,340.0,345.0,5.667,5.75,0,1.0165478,708.9782,0,0,0,0
ml17_280a_0142_chunk0069.wav,69,345.0,350.0,5.75,5.833,0,1.0274938,755.51276,0,0,0,0
ml17_280a_0142_chunk0070.wav,70,350.0,355.0,5.833,5.917,0,1.0130209,454.437,0,0,0,0
ml17_280a_0142_chunk0071.wav,71,355.0,360.0,5.917,6.0,0,1.1536522,836.27295,0,0,0,0
ml17_280a_0142_chunk0072.wav,72,360.0,365.0,6.0,6.083,0,1.0345668,668.1406,0,0,0,0
ml17_280a_0142_chunk0073.wav,73,365.0,370.0,6.083,6.167,0,1.2181249,1090.8035,0,0,0,0
ml17_280a_0142_chunk0074.wav,74,370.0,375.0,6.167,6.25,0,1.064342,693.4542,0,0,0,0
ml17_280a_0142_chunk0075.wav,75,375.0,380.0,6.25,6.333,0,1.079037,803.3884,0,0,0,0
ml17_280a_0142_chunk0076.wav,76,380.0,385.0,6.333,6.417,0,1.0480548,784.0233,0,0,0,0
ml17_280a_0142_chunk0077.wav,77,385.0,390.0,6.417,6.5,0,1.2921466,1449.7524,0,0,0,0
ml17_280a_0142_chunk0079.wav,79,395.0,400.0,6.583,6.667,1,1.7273248,3382.702,1,1,1,1
ml17_280a_0142_chunk0081.wav,81,405.0,410.0,6.75,6.833,1,1.4047658,1873.0586,1,1,1,1
ml17_280a_0142_chunk0082.wav,82,410.0,415.0,6.833,6.917,1,1.3248444,1580.0527,1,1,0,0
ml17_280a_0142_chunk0083.wav,83,415.0,420.0,6.917,7.0,1,1.5315121,2252.079,1,1,1,1
ml17_280a_0142_chunk0084.wav,84,420.0,425.0,7.0,7.083,1,1.50482,2376.9753,1,1,1,1
ml17_280a_0142_chunk0085.wav,85,425.0,430.0,7.083,7.167,1,1.4624957,2035.5786,1,1,1,1
ml17_280a_0142_chunk0087.wav,87,435.0,440.0,7.25,7.333,1,1.5241386,2315.0293,1,1,1,1
