filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0160_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,0.98534423,1826.1777,0,1,0,1
ml17_280a_0160_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.002768,1027.6716,0,0,0,0
ml17_280a_0160_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0178866,782.2031,1,0,0,0
ml17_280a_0160_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,0.9927559,663.04553,0,0,0,0
ml17_280a_0160_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0171301,329.97998,0,0,0,0
ml17_280a_0160_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.003173,592.1073,0,0,0,0
ml17_280a_0160_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.005851,480.74356,0,0,0,0
ml17_280a_0160_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,0.98947346,532.66425,0,0,0,0
ml17_280a_0160_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.0014049,687.57007,0,0,0,0
ml17_280a_0160_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.98534423,757.8369,0,0,0,0
