filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0165_chunk0000.wav,0,0.0,5.0,0.0,0.083,1,2.3027935,4787.6055,1,1,1,1
ml17_280a_0165_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,1.2642972,1109.1558,1,1,0,0
ml17_280a_0165_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.1750445,899.2054,0,0,0,0
ml17_280a_0165_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0989455,701.3116,0,0,0,0
ml17_280a_0165_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0608293,620.15027,0,0,0,0
ml17_280a_0165_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,1.0507622,494.14935,0,0,0,0
ml17_280a_0165_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.04423,436.53644,0,0,0,0
ml17_280a_0165_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,1.1157478,636.6394,0,0,0,0
ml17_280a_0165_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,1.1767268,736.9904,0,0,0,0
ml17_280a_0165_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.1701001,875.79065,0,0,0,0
ml17_280a_0165_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,1.033019,397.1626,0,0,0,0
ml17_280a_0165_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,1.1783895,722.7561,0,0,0,0
ml17_280a_0165_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,1.0082055,328.74335,0,0,0,0
ml17_280a_0165_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.1418957,748.6417,0,0,0,0
ml17_280a_0165_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,0.99247277,235.60132,0,0,0,0
ml17_280a_0165_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,1.1115975,688.954,0,0,0,0
ml17_280a_0165_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,0.99088573,333.78442,0,0,0,0
ml17_280a_0165_chunk0018.wav,18,90.0,95.0,1.5,1.583,0,0.9925253,312.5625,0,0,0,0
ml17_280a_0165_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,0.98647517,317.34155,0,0,0,0
ml17_280a_0165_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,1.0547526,510.9459,0,0,0,0
ml17_280a_0165_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.9961176,390.02582,0,0,0,0
ml17_280a_0165_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.004169,307.8526,0,0,0,0
ml17_280a_0165_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,0.9819372,294.39734,0,0,0,0
ml17_280a_0165_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,0.9936038,249.79681,0,0,0,0
ml17_280a_0165_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,0.9975092,267.1263,0,0,0,0
ml17_280a_0165_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,0.9964649,308.8336,0,0,0,0
ml17_280a_0165_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,0.9877865,397.3164,0,0,0,0
ml17_280a_0165_chunk0028.wav,28,140.0,145.0,2.333,2.417,1,3.016621,6343.117,1,1,1,1
ml17_280a_0165_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,1.1331395,639.28784,0,0,0,0
ml17_280a_0165_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,0.99134606,482.79056,0,0,0,0
ml17_280a_0165_chunk0031.wav,31,155.0,160.0,2.583,2.667,0,1.0021245,456.09918,0,0,0,0
ml17_280a_0165_chunk0032.wav,32,160.0,165.0,2.667,2.75,0,0.99310005,404.0241,0,0,0,0
ml17_280a_0165_chunk0033.wav,33,165.0,170.0,2.75,2.833,0,0.98696375,347.0211,0,0,0,0
ml17_280a_0165_chunk0034.wav,34,170.0,175.0,2.833,2.917,0,0.99559546,471.19073,0,0,0,0
ml17_280a_0165_chunk0035.wav,35,175.0,180.0,2.917,3.0,0,0.9942358,307.5041,0,0,0,0
ml17_280a_0165_chunk0036.wav,36,180.0,185.0,3.0,3.083,0,1.0089309,567.00696,0,0,0,0
ml17_280a_0165_chunk0037.wav,37,185.0,190.0,3.083,3.167,0,1.0959154,538.1055,0,0,0,0
ml17_280a_0165_chunk0038.wav,38,190.0,195.0,3.167,3.25,0,0.99383765,371.03198,0,0,0,0
ml17_280a_0165_chunk0039.wav,39,195.0,200.0,3.25,3.333,0,1.8069597,2383.3584,1,1,0,0
ml17_280a_0165_chunk0040.wav,40,200.0,205.0,3.333,3.417,0,0.9958971,431.7946,0,0,0,0
ml17_280a_0165_chunk0042.wav,42,210.0,215.0,3.5,3.583,0,0.9967619,412.1834,0,0,0,0
ml17_280a_0165_chunk0044.wav,44,220.0,225.0,3.667,3.75,0,0.9947239,299.57056,0,0,0,0
ml17_280a_0165_chunk0046.wav,46,230.0,235.0,3.833,3.917,0,0.9971126,489.5703,0,0,0,0
ml17_280a_0165_chunk0047.wav,47,235.0,240.0,3.917,4.0,0,1.0045401,506.77234,0,0,0,0
ml17_280a_0165_chunk0048.wav,48,240.0,245.0,4.0,4.083,0,1.3201294,1000.1946,1,1,0,0
