filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0016_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,0.999498,689.86597,0,0,0,0
ml17_280a_0016_chunk0001.wav,1,5.0,10.0,0.083,0.167,0,0.99338704,550.3219,0,0,0,0
ml17_280a_0016_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0251232,868.2908,0,0,0,0
ml17_280a_0016_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,1.0720387,1124.823,0,0,0,0
ml17_280a_0016_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,0.99940574,472.51517,0,0,0,0
ml17_280a_0016_chunk0005.wav,5,25.0,30.0,0.417,0.5,0,0.98745215,565.69946,0,0,0,0
ml17_280a_0016_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.0017812,444.2527,0,0,0,0
ml17_280a_0016_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,0.9891052,324.29675,0,0,0,0
ml17_280a_0016_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,0.9817406,637.8222,0,0,0,0
ml17_280a_0016_chunk0009.wav,9,45.0,50.0,0.75,0.833,0,0.9830791,757.44257,0,0,0,0
ml17_280a_0016_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,1.0031502,703.9108,0,0,0,0
ml17_280a_0016_chunk0011.wav,11,55.0,60.0,0.917,1.0,0,0.9913225,379.18268,0,0,0,0
ml17_280a_0016_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,0.9997916,730.5099,0,0,0,0
ml17_280a_0016_chunk0013.wav,13,65.0,70.0,1.083,1.167,0,1.0872815,1267.2097,1,0,0,0
ml17_280a_0016_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,1.0337561,974.5872,0,0,0,0
ml17_280a_0016_chunk0015.wav,15,75.0,80.0,1.25,1.333,0,0.99760705,329.37128,0,0,0,0
ml17_280a_0016_chunk0016.wav,16,80.0,85.0,1.333,1.417,0,0.99049187,614.5748,0,0,0,0
ml17_280a_0016_chunk0017.wav,17,85.0,90.0,1.417,1.5,0,1.0783904,1035.5481,0,0,0,0
ml17_280a_0016_chunk0019.wav,19,95.0,100.0,1.583,1.667,0,0.99418604,397.3778,0,0,0,0
ml17_280a_0016_chunk0020.wav,20,100.0,105.0,1.667,1.75,0,0.99670887,447.94733,0,0,0,0
ml17_280a_0016_chunk0021.wav,21,105.0,110.0,1.75,1.833,0,0.9913333,686.07355,0,0,0,0
ml17_280a_0016_chunk0022.wav,22,110.0,115.0,1.833,1.917,0,1.0055184,815.6958,0,0,0,0
ml17_280a_0016_chunk0023.wav,23,115.0,120.0,1.917,2.0,0,1.2654059,1998.1116,1,1,1,1
ml17_280a_0016_chunk0024.wav,24,120.0,125.0,2.0,2.083,0,1.0385082,1048.4556,0,0,0,0
ml17_280a_0016_chunk0025.wav,25,125.0,130.0,2.083,2.167,0,0.9945563,537.69617,0,0,0,0
ml17_280a_0016_chunk0026.wav,26,130.0,135.0,2.167,2.25,0,0.99123317,559.76917,0,0,0,0
ml17_280a_0016_chunk0027.wav,27,135.0,140.0,2.25,2.333,0,0.9864834,607.9966,0,0,0,0
ml17_280a_0016_chunk0028.wav,28,140.0,145.0,2.333,2.417,0,1.1595354,1553.5315,1,1,1,1
ml17_280a_0016_chunk0029.wav,29,145.0,150.0,2.417,2.5,0,0.9859023,599.0222,0,0,0,0
ml17_280a_0016_chunk0030.wav,30,150.0,155.0,2.5,2.583,0,1.0730968,1318.0975,0,1,0,0
