filename,chunk_idx,time_start_s,time_end_s,time_start_min,time_end_min,label,score_lof,score_gaussian,pred_lof_p90,pred_gauss_p90,pred_lof_ms2,pred_gauss_ms2
ml17_280a_0156_chunk0000.wav,0,0.0,5.0,0.0,0.083,0,0.9901498,1510.7227,0,1,0,1
ml17_280a_0156_chunk0002.wav,2,10.0,15.0,0.167,0.25,0,1.0009496,652.26843,0,0,0,0
ml17_280a_0156_chunk0003.wav,3,15.0,20.0,0.25,0.333,0,0.9938686,905.16846,0,0,0,0
ml17_280a_0156_chunk0004.wav,4,20.0,25.0,0.333,0.417,0,1.0076381,596.2317,0,0,0,0
ml17_280a_0156_chunk0006.wav,6,30.0,35.0,0.5,0.583,0,1.022885,367.7135,1,0,1,0
ml17_280a_0156_chunk0007.wav,7,35.0,40.0,0.583,0.667,0,1.0088326,326.80368,0,0,0,0
ml17_280a_0156_chunk0008.wav,8,40.0,45.0,0.667,0.75,0,0.99952674,477.1375,0,0,0,0
ml17_280a_0156_chunk0010.wav,10,50.0,55.0,0.833,0.917,0,0.9901498,1033.6072,0,0,0,0
ml17_280a_0156_chunk0012.wav,12,60.0,65.0,1.0,1.083,0,0.9930041,591.2472,0,0,0,0
ml17_280a_0156_chunk0014.wav,14,70.0,75.0,1.167,1.25,0,0.9938686,1219.0995,0,0,0,0
