Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml17_280a_0083_part50.wav,50,250,4:10,0.1152,RAS,,,ml17_280a_00830050
ml17_280a_0083_part51.wav,51,255,4:15,0.2795,ANOMALIE,,,ml17_280a_00830051
ml17_280a_0083_part52.wav,52,260,4:20,0.3049,ANOMALIE,,,ml17_280a_00830052
ml17_280a_0083_part53.wav,53,265,4:25,0.1128,RAS,,,ml17_280a_00830053
ml17_280a_0083_part54.wav,54,270,4:30,0.0976,RAS,,,ml17_280a_00830054
ml17_280a_0083_part55.wav,55,275,4:35,0.3223,ANOMALIE,,,ml17_280a_00830055
ml17_280a_0083_part56.wav,56,280,4:40,0.1094,RAS,,,ml17_280a_00830056
ml17_280a_0083_part57.wav,57,285,4:45,0.228,RAS,,,ml17_280a_00830057
ml17_280a_0083_part58.wav,58,290,4:50,0.16,RAS,,,ml17_280a_00830058
ml17_280a_0083_part59.wav,59,295,4:55,0.1812,RAS,,,ml17_280a_00830059
ml17_280a_0083_part60.wav,60,300,5:00,0.1641,RAS,,,ml17_280a_00830060
ml17_280a_0083_part61.wav,61,305,5:05,0.1273,RAS,,,ml17_280a_00830061
ml17_280a_0083_part62.wav,62,310,5:10,0.1002,RAS,,,ml17_280a_00830062
ml17_280a_0083_part63.wav,63,315,5:15,0.2116,RAS,,,ml17_280a_00830063
ml17_280a_0083_part64.wav,64,320,5:20,0.2144,RAS,,,ml17_280a_00830064
ml17_280a_0083_part65.wav,65,325,5:25,0.1929,RAS,,,ml17_280a_00830065
ml17_280a_0083_part66.wav,66,330,5:30,0.2615,ANOMALIE,,,ml17_280a_00830066
ml17_280a_0083_part67.wav,67,335,5:35,0.1997,RAS,,,ml17_280a_00830067
ml17_280a_0083_part68.wav,68,340,5:40,0.1965,RAS,,,ml17_280a_00830068
ml17_280a_0083_part69.wav,69,345,5:45,0.3566,ANOMALIE,,,ml17_280a_00830069
ml17_280a_0083_part70.wav,70,350,5:50,0.399,ANOMALIE,,,ml17_280a_00830070
ml17_280a_0083_part71.wav,71,355,5:55,0.101,RAS,,,ml17_280a_00830071
ml17_280a_0083_part72.wav,72,360,6:00,0.5406,ANOMALIE,,,ml17_280a_00830072
ml17_280a_0083_part73.wav,73,365,6:05,0.2359,RAS,,,ml17_280a_00830073
ml17_280a_0083_part74.wav,74,370,6:10,0.4341,ANOMALIE,,,ml17_280a_00830074
ml17_280a_0083_part75.wav,75,375,6:15,0.494,ANOMALIE,,,ml17_280a_00830075
ml17_280a_0083_part76.wav,76,380,6:20,0.4271,ANOMALIE,,,ml17_280a_00830076
ml17_280a_0083_part77.wav,77,385,6:25,0.5951,ANOMALIE,,,ml17_280a_00830077
ml17_280a_0083_part78.wav,78,390,6:30,0.3721,ANOMALIE,,,ml17_280a_00830078
ml17_280a_0083_part79.wav,79,395,6:35,0.4555,ANOMALIE,,,ml17_280a_00830079
ml17_280a_0083_part80.wav,80,400,6:40,0.405,ANOMALIE,,,ml17_280a_00830080
ml17_280a_0083_part81.wav,81,405,6:45,0.5366,ANOMALIE,,,ml17_280a_00830081
ml17_280a_0083_part82.wav,82,410,6:50,0.338,ANOMALIE,,,ml17_280a_00830082
ml17_280a_0083_part83.wav,83,415,6:55,0.5422,ANOMALIE,,,ml17_280a_00830083
ml17_280a_0083_part84.wav,84,420,7:00,0.5353,ANOMALIE,,,ml17_280a_00830084
ml17_280a_0088_part0.wav,0,0,0:00,0.1259,RAS,,,ml17_280a_00880000
ml17_280a_0088_part1.wav,1,5,0:05,0.107,RAS,,,ml17_280a_00880001
ml17_280a_0088_part2.wav,2,10,0:10,0.1587,RAS,,,ml17_280a_00880002
ml17_280a_0088_part3.wav,3,15,0:15,0.1443,RAS,,,ml17_280a_00880003
ml17_280a_0088_part4.wav,4,20,0:20,0.1731,RAS,,,ml17_280a_00880004
ml17_280a_0088_part5.wav,5,25,0:25,0.1162,RAS,,,ml17_280a_00880005
ml17_280a_0088_part6.wav,6,30,0:30,0.1028,RAS,,,ml17_280a_00880006
ml17_280a_0088_part7.wav,7,35,0:35,0.1273,RAS,,,ml17_280a_00880007
ml17_280a_0088_part8.wav,8,40,0:40,0.1527,RAS,,,ml17_280a_00880008
ml17_280a_0088_part9.wav,9,45,0:45,0.143,RAS,,,ml17_280a_00880009
ml17_280a_0088_part10.wav,10,50,0:50,0.106,RAS,,,ml17_280a_00880010
ml17_280a_0088_part11.wav,11,55,0:55,0.1637,RAS,,,ml17_280a_00880011
ml17_280a_0088_part12.wav,12,60,1:00,0.1452,RAS,,,ml17_280a_00880012
ml17_280a_0088_part13.wav,13,65,1:05,0.1478,RAS,,,ml17_280a_00880013
ml17_280a_0088_part14.wav,14,70,1:10,0.15,RAS,,,ml17_280a_00880014
ml17_280a_0088_part15.wav,15,75,1:15,0.1241,RAS,,,ml17_280a_00880015
ml17_280a_0088_part16.wav,16,80,1:20,0.1058,RAS,,,ml17_280a_00880016
ml17_280a_0088_part17.wav,17,85,1:25,0.0985,RAS,,,ml17_280a_00880017
ml17_280a_0088_part18.wav,18,90,1:30,0.1286,RAS,,,ml17_280a_00880018
ml17_280a_0088_part19.wav,19,95,1:35,0.138,RAS,,,ml17_280a_00880019
ml17_280a_0088_part20.wav,20,100,1:40,0.1453,RAS,,,ml17_280a_00880020
ml17_280a_0088_part21.wav,21,105,1:45,0.1324,RAS,,,ml17_280a_00880021
ml17_280a_0088_part22.wav,22,110,1:50,0.124,RAS,,,ml17_280a_00880022
ml17_280a_0088_part23.wav,23,115,1:55,0.1241,RAS,,,ml17_280a_00880023
ml17_280a_0088_part24.wav,24,120,2:00,0.1131,RAS,,,ml17_280a_00880024
ml17_280a_0088_part25.wav,25,125,2:05,0.1344,RAS,,,ml17_280a_00880025
ml17_280a_0088_part26.wav,26,130,2:10,0.1032,RAS,,,ml17_280a_00880026
ml17_280a_0088_part27.wav,27,135,2:15,0.136,RAS,,,ml17_280a_00880027
ml17_280a_0088_part28.wav,28,140,2:20,0.1166,RAS,,,ml17_280a_00880028
ml17_280a_0088_part29.wav,29,145,2:25,0.0923,RAS,,,ml17_280a_00880029
ml17_280a_0088_part30.wav,30,150,2:30,0.1883,RAS,,,ml17_280a_00880030
ml17_280a_0088_part31.wav,31,155,2:35,0.1,RAS,,,ml17_280a_00880031
ml17_280a_0088_part32.wav,32,160,2:40,0.143,RAS,,,ml17_280a_00880032
ml17_280a_0088_part33.wav,33,165,2:45,0.2072,RAS,,,ml17_280a_00880033
