Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0083_part7.wav,7,35,0:35,0.5606,Anomaly,Anomaly,
ml17_280a_0096_part34.wav,34,170,2:50,0.5599,Anomaly,Anomaly,
ml17_280a_0170_part6.wav,6,30,0:30,0.5597,Anomaly,Anomaly,vent
ml17_280a_0099_part10.wav,10,50,0:50,0.5595,Anomaly,Anomaly,
ml17_280a_0171_part13.wav,13,65,1:05,0.5592,Anomaly,Anomaly,vent
ml17_280a_0070_part20.wav,20,100,1:40,0.559,Anomaly,Anomaly,
ml17_280a_0081_part61.wav,61,305,5:05,0.5575,Anomaly,Anomaly,
ml17_280a_0083_part4.wav,4,20,0:20,0.5573,Anomaly,Anomaly,
ml17_280a_0099_part32.wav,32,160,2:40,0.5568,Anomaly,Anomaly,
ml17_280a_0082_part50.wav,50,250,4:10,0.5568,Anomaly,Anomaly,
ml17_280a_0082_part46.wav,46,230,3:50,0.5566,Anomaly,Anomaly,
ml17_280a_0144_part54.wav,54,270,4:30,0.5565,Anomaly,Anomaly,
ml17_280a_0148_part3.wav,3,15,0:15,0.556,Anomaly,Anomaly,vent
ml17_280a_0081_part15.wav,15,75,1:15,0.556,Anomaly,Anomaly,
ml17_280a_0096_part38.wav,38,190,3:10,0.5555,Anomaly,Anomaly,
ml17_280a_0082_part33.wav,33,165,2:45,0.5546,Anomaly,Anomaly,
ml17_280a_0084_part49.wav,49,245,4:05,0.5546,Anomaly,Anomaly,
ml17_280a_0137_part9.wav,9,45,0:45,0.5545,Anomaly,To_validate,
ml17_280a_0099_part19.wav,19,95,1:35,0.5537,Anomaly,To_validate,
ml17_280a_0083_part30.wav,30,150,2:30,0.5533,Anomaly,To_validate,
ml17_280a_0099_part46.wav,46,230,3:50,0.5533,Anomaly,To_validate,
ml17_280a_0095_part31.wav,31,155,2:35,0.5531,Anomaly,To_validate,
ml17_280a_0083_part29.wav,29,145,2:25,0.5527,Anomaly,To_validate,
ml17_280a_0082_part65.wav,65,325,5:25,0.5517,Anomaly,To_validate,
ml17_280a_0039_part41.wav,41,205,3:25,0.5512,Anomaly,To_validate,
ml17_280a_0083_part25.wav,25,125,2:05,0.5509,Anomaly,To_validate,
ml17_280a_0099_part15.wav,15,75,1:15,0.5505,Anomaly,To_validate,
ml17_280a_0082_part23.wav,23,115,1:55,0.5503,Anomaly,To_validate,
ml17_280a_0168_part1.wav,1,5,0:05,0.5499,Anomaly,To_validate,
ml17_280a_0082_part52.wav,52,260,4:20,0.5497,Anomaly,To_validate,
ml17_280a_0081_part64.wav,64,320,5:20,0.5487,Anomaly,To_validate,
ml17_280a_0099_part17.wav,17,85,1:25,0.5486,Anomaly,To_validate,
ml17_280a_0082_part17.wav,17,85,1:25,0.548,Anomaly,To_validate,
