,precision,recall,f1-score,support
RAS,0.8275862068965517,1.0,0.9056603773584906,48.0
ANOMALIE,0.0,0.0,0.0,10.0
accuracy,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517
macro avg,0.41379310344827586,0.5,0.4528301886792453,58.0
weighted avg,0.6848989298454221,0.8275862068965517,0.749512036434613,58.0

Confusion Matrix
,RAS Predicted,ANOMALIE Predicted
RAS Actual,48,0
ANOMALIE Actual,10,0
