,precision,recall,f1-score,support
Void,0.7222222222222222,0.34210526315789475,0.4642857142857143,38.0
Anomaly,0.6951219512195121,0.9193548387096774,0.7916666666666666,62.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7086720867208671,0.6307300509337861,0.6279761904761905,100.0
weighted avg,0.705420054200542,0.7,0.6672619047619047,100.0
