class,precision,recall,f1,support
Void (normal),0.8143939393939394,0.5584415584415584,0.662557781201849,385
Anomaly,0.8100558659217877,0.9366925064599483,0.8687837028160575,774
weighted avg,0.8114968998189217,0.811044003451251,0.8002789747561178,1159
