filename,recording_id,score,score_normed,label,pred_raw_p55,pred_norm_p55,pred_raw_p60,pred_norm_p60,pred_raw_p65,pred_norm_p65
ml17_280a_0068_chunk0009.wav,ml17_280a_0068,-329.6147155761719,0.0,1,1,1,1,1,1,1
ml17_280a_0085_chunk0004.wav,ml17_280a_0085,-329.74200439453125,-0.7071067811865475,1,1,0,1,0,1,0
ml17_280a_0137_chunk0032.wav,ml17_280a_0137,-331.7694702148437,-0.8241493165575897,1,1,0,1,0,1,0
ml17_280a_0138_chunk0009.wav,ml17_280a_0138,-359.8285827636719,0.0,1,1,1,1,1,1,1
ml17_280a_0019_chunk0005.wav,ml17_280a_0019,-363.8858947753906,-0.7071067811865476,1,1,0,1,0,1,0
ml17_280a_0070_chunk0053.wav,ml17_280a_0070,-368.74029541015625,0.0,0,1,1,1,1,1,1
ml17_280a_0071_chunk0014.wav,ml17_280a_0071,-370.4715270996094,0.7071067811865476,0,1,1,1,1,1,1
ml17_280a_0084_chunk0060.wav,ml17_280a_0084,-372.0584716796875,-1.0913793999869887,1,1,0,1,0,1,0
ml17_280a_0144_chunk0032.wav,ml17_280a_0144,-375.8832092285156,0.7071067811865476,1,1,1,1,1,1,1
ml17_280a_0069_chunk0033.wav,ml17_280a_0069,-379.2394104003906,0.0,0,1,1,1,1,1,1
ml17_280a_0116_chunk0009.wav,ml17_280a_0116,-382.3486633300781,0.0,0,1,1,1,1,1,1
ml17_280a_0108_chunk0010.wav,ml17_280a_0108,-384.7152099609375,0.0,0,1,1,1,1,1,1
ml17_280a_0014_chunk0048.wav,ml17_280a_0014,-402.0530395507813,-0.7071067811865478,1,1,0,1,0,1,0
ml17_280a_0142_chunk0020.wav,ml17_280a_0142,-405.6478576660156,0.0,1,1,1,1,1,1,1
ml17_280a_0109_chunk0007.wav,ml17_280a_0109,-422.92913818359375,0.7071067811864239,0,1,1,1,1,0,1
ml17_280a_0109_chunk0002.wav,ml17_280a_0109,-423.2540893554688,-0.7071067811866713,0,1,0,1,0,0,0
ml17_280a_0073_chunk0043.wav,ml17_280a_0073,-427.8170776367188,0.0,0,1,1,1,1,0,1
ml17_280a_0072_chunk0033.wav,ml17_280a_0072,-479.4048461914063,0.0,0,1,1,0,1,0,1
ml17_280a_0153_chunk0002.wav,ml17_280a_0153,-480.3822021484375,-0.5736230407733802,0,1,0,0,0,0,0
ml17_280a_0153_chunk0059.wav,ml17_280a_0153,-481.3504028320313,-0.5810694941080536,0,0,0,0,0,0,0
ml17_280a_0110_chunk0014.wav,ml17_280a_0110,-505.2703857421875,0.7071067811865476,0,0,1,0,1,0,1
ml17_280a_0052_chunk0019.wav,ml17_280a_0052,-506.7444152832031,0.0,1,0,1,0,1,0,1
ml17_280a_0011_chunk0057.wav,ml17_280a_0011,-507.2144775390625,0.7071067811865476,0,0,1,0,1,0,1
ml17_280a_0071_chunk0055.wav,ml17_280a_0071,-509.0025939941406,-0.7071067811865476,0,0,0,0,0,0,0
ml17_280a_0035_chunk0012.wav,ml17_280a_0035,-509.0269775390625,0.0,0,0,1,0,1,0,1
ml17_280a_0129_chunk0060.wav,ml17_280a_0129,-511.6046142578125,0.0,1,0,1,0,1,0,1
ml17_280a_0092_chunk0021.wav,ml17_280a_0092,-518.1767578125,0.0,0,0,1,0,1,0,1
ml17_280a_0065_chunk0008.wav,ml17_280a_0065,-525.7694091796875,0.0,0,0,1,0,1,0,1
ml17_280a_0031_chunk0023.wav,ml17_280a_0031,-532.537841796875,0.0,0,0,1,0,1,0,1
ml17_280a_0119_chunk0054.wav,ml17_280a_0119,-543.2183837890625,0.7071067811865476,0,0,1,0,1,0,1
ml17_280a_0091_chunk0038.wav,ml17_280a_0091,-543.279296875,0.0,1,0,1,0,1,0,1
ml17_280a_0079_chunk0039.wav,ml17_280a_0079,-544.7639770507812,0.0,0,0,1,0,1,0,1
ml17_280a_0060_chunk0018.wav,ml17_280a_0060,-550.66748046875,1.1401841366129664,0,0,1,0,1,0,1
ml17_280a_0063_chunk0066.wav,ml17_280a_0063,-551.7269287109375,0.0,0,0,1,0,1,0,1
ml17_280a_0060_chunk0066.wav,ml17_280a_0060,-555.7509765625,-0.41202530721458597,0,0,0,0,0,0,0
ml17_280a_0048_chunk0016.wav,ml17_280a_0048,-555.77978515625,0.0,0,0,1,0,1,0,1
ml17_280a_0144_chunk0060.wav,ml17_280a_0144,-556.2080078125,-0.7071067811865476,0,0,0,0,0,0,0
ml17_280a_0060_chunk0043.wav,ml17_280a_0060,-556.7863159179688,-0.7281588293984151,0,0,0,0,0,0,0
ml17_280a_0103_chunk0042.wav,ml17_280a_0103,-560.252685546875,0.0,1,0,1,0,1,0,1
ml17_280a_0167_chunk0053.wav,ml17_280a_0167,-561.8739013671875,-0.5546661165799245,0,0,0,0,0,0,0
ml17_280a_0025_chunk0017.wav,ml17_280a_0025,-562.3359375,0.0,0,0,1,0,1,0,1
ml17_280a_0110_chunk0061.wav,ml17_280a_0110,-563.77783203125,-0.7071067811865476,1,0,0,0,0,0,0
ml17_280a_0054_chunk0042.wav,ml17_280a_0054,-564.3484497070312,0.7071067811865476,0,0,1,0,1,0,1
ml17_280a_0054_chunk0053.wav,ml17_280a_0054,-564.6522827148438,-0.7071067811865476,0,0,0,0,0,0,0
ml17_280a_0119_chunk0029.wav,ml17_280a_0119,-564.838134765625,-0.7071067811865476,0,0,0,0,0,0,0
ml17_280a_0162_chunk0059.wav,ml17_280a_0162,-569.6326904296875,-0.7071067811865475,1,0,0,0,0,0,0
ml17_280a_0093_chunk0007.wav,ml17_280a_0093,-569.77001953125,0.0,0,0,1,0,1,0,1
ml17_280a_0011_chunk0005.wav,ml17_280a_0011,-575.9613647460938,-0.7071067811865476,0,0,0,0,0,0,0
ml17_280a_0167_chunk0039.wav,ml17_280a_0167,-577.0406494140625,-0.599741125766671,0,0,0,0,0,0,0
ml17_280a_0029_chunk0060.wav,ml17_280a_0029,-578.3624267578125,0.0,0,0,1,0,1,0,1
ml17_280a_0058_chunk0044.wav,ml17_280a_0058,-579.04931640625,0.0,0,0,1,0,1,0,1
ml17_280a_0021_chunk0040.wav,ml17_280a_0021,-580.0316162109375,0.0,0,0,1,0,1,0,1
ml17_280a_0125_chunk0011.wav,ml17_280a_0125,-580.2333984375,0.0,0,0,1,0,1,0,1
ml17_280a_0046_chunk0060.wav,ml17_280a_0046,-589.3909912109375,0.0,0,0,1,0,1,0,1
