class,precision,recall,f1,support
Void (normal),0.85,0.8947368421052632,0.8717948717948718,38
Anomaly,0.9333333333333333,0.9032258064516129,0.9180327868852459,62
weighted avg,0.9016666666666666,0.9,0.9004623791509039,100
