auroc,ap,f1,precision,recall,n_flagged,tau,strategy
0.7419871794871794,0.6516832953323908,0.7777777777777777,0.7,0.875,60,-405.6478576660156,raw (oracle)
0.7419871794871794,0.6516832953323908,0.7433628318584071,0.6461538461538462,0.875,65,-481.3019927978516,raw p55
0.7419871794871794,0.6516832953323908,0.7567567567567568,0.6666666666666666,0.875,63,-448.4521850585939,raw p60
0.7419871794871794,0.6516832953323908,0.7777777777777778,0.7,0.875,60,-417.1970489501954,raw p65
0.4963942307692308,0.520449488025891,0.6486486486486487,0.48,1.0,100,-1.0913793999869887,per-rec norm (oracle)
0.4963942307692308,0.520449488025891,0.5210084033613446,0.43661971830985913,0.6458333333333334,71,0.0,per-rec norm p55
0.4963942307692308,0.520449488025891,0.5210084033613446,0.43661971830985913,0.6458333333333334,71,0.0,per-rec norm p60
0.4963942307692308,0.520449488025891,0.5210084033613446,0.43661971830985913,0.6458333333333334,71,0.0,per-rec norm p65
