Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml17_280a_0083_part18.wav,18,1:30,0.3938,0.3471,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part58.wav,58,4:50,0.3906,0.3587,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part49.wav,49,4:05,0.3838,0.3501,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part78.wav,78,6:30,0.3738,0.3293,ANOMALIE,Ecart bruit,A_VALIDER
ml18_296a_0007_part5.wav,5,0:25,0.3737,0.3914,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part35.wav,35,2:55,0.37,0.3223,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part157.wav,157,13:05,0.3675,0.3461,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part139.wav,139,11:35,0.3672,0.3721,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part152.wav,152,12:40,0.3667,0.3548,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part40.wav,40,3:20,0.3615,0.315,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part155.wav,155,12:55,0.3586,0.3411,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part69.wav,69,5:45,0.3585,0.3227,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part142.wav,142,11:50,0.3553,0.322,ANOMALIE,Ecart bruit,A_VALIDER
ml18_294b_0013_part84.wav,84,7:00,0.3538,0.362,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part64.wav,64,5:20,0.3496,0.3084,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part46.wav,46,3:50,0.3454,0.3306,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part15.wav,15,1:15,0.3395,0.3037,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part82.wav,82,6:50,0.3379,0.2789,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part48.wav,48,4:00,0.3367,0.3154,ANOMALIE,Ecart bruit,A_VALIDER
ml19_293a_0015_part34.wav,34,2:50,0.3362,0.3568,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part150.wav,150,12:30,0.3305,0.2895,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part138.wav,138,11:30,0.3301,0.3281,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292b_0026_part119.wav,119,9:55,0.3298,0.3055,ANOMALIE,Ecart bruit,A_VALIDER
ml19_292a_0030_part68.wav,68,5:40,0.3297,0.3485,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0083_part55.wav,55,4:35,0.325,0.3101,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part160.wav,160,13:20,0.321,0.3051,ANOMALIE,Ecart bruit,A_VALIDER
ml17_280a_0144_part135.wav,135,11:15,0.3162,0.3049,RAS,,A_VALIDER
ml19_292b_0026_part126.wav,126,10:30,0.315,0.3234,RAS,,A_VALIDER
