Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml19_292b_0026_part126.wav,126,630,10:30,0.3145,ANOMALIE
ml18_294b_0076_part84.wav,84,420,7:00,0.3133,ANOMALIE
ml19_292b_0026_part103.wav,103,515,8:35,0.313,ANOMALIE
ml19_292b_0026_part127.wav,127,635,10:35,0.3119,ANOMALIE
ml19_292b_0026_part89.wav,89,445,7:25,0.3114,ANOMALIE
ml19_292b_0026_part91.wav,91,455,7:35,0.3113,ANOMALIE
ml19_292a_0030_part46.wav,46,230,3:50,0.3087,ANOMALIE
ml17_280a_0083_part52.wav,52,260,4:20,0.306,ANOMALIE
ml19_292b_0026_part75.wav,75,375,6:15,0.3051,ANOMALIE
ml17_280a_0144_part8.wav,8,40,0:40,0.3046,ANOMALIE
ml19_292b_0026_part129.wav,129,645,10:45,0.3036,ANOMALIE
ml19_292a_0007_part36.wav,36,180,3:00,0.3012,ANOMALIE
ml19_292b_0026_part140.wav,140,700,11:40,0.3002,ANOMALIE
ml19_292b_0026_part113.wav,113,565,9:25,0.2997,ANOMALIE
ml17_280a_0144_part102.wav,102,510,8:30,0.299,ANOMALIE
ml19_292b_0026_part56.wav,56,280,4:40,0.2963,ANOMALIE
ml17_280a_0144_part17.wav,17,85,1:25,0.2962,ANOMALIE
ml17_280a_0144_part27.wav,27,135,2:15,0.2938,ANOMALIE
ml19_292b_0026_part59.wav,59,295,4:55,0.2936,ANOMALIE
ml17_280a_0144_part116.wav,116,580,9:40,0.2915,ANOMALIE
ml19_292b_0026_part130.wav,130,650,10:50,0.2905,ANOMALIE
ml19_292b_0026_part141.wav,141,705,11:45,0.2862,ANOMALIE
ml19_292a_0007_part39.wav,39,195,3:15,0.285,ANOMALIE
ml19_292b_0026_part132.wav,132,660,11:00,0.2835,ANOMALIE
ml17_280a_0083_part51.wav,51,255,4:15,0.2813,ANOMALIE
ml19_293a_0015_part127.wav,127,635,10:35,0.2802,ANOMALIE
ml19_292b_0026_part50.wav,50,250,4:10,0.2797,ANOMALIE
ml17_280a_0144_part11.wav,11,55,0:55,0.2795,ANOMALIE
ml17_280a_0144_part94.wav,94,470,7:50,0.2784,ANOMALIE
ml17_280a_0144_part99.wav,99,495,8:15,0.2784,ANOMALIE
ml19_292a_0030_part75.wav,75,375,6:15,0.2781,ANOMALIE
ml17_280a_0083_part1.wav,1,5,0:05,0.2764,ANOMALIE
ml17_280a_0144_part144.wav,144,720,12:00,0.2751,ANOMALIE
ml18_294b_0042_part8.wav,8,40,0:40,0.2712,ANOMALIE
ml19_292a_0030_part78.wav,78,390,6:30,0.2706,ANOMALIE
